"id","ASN","price","status","stitle","cate","image","Product Dimensions","Batteries required","Item model number","Date First Available","extraImages","Item Weight","Is assembly required","Included components","Customer Reviews","Best Sellers Rank","Package Dimensions","Primary material","Frame finish","Footboard upholstery","Shipping Weight","Manufacturer","Assembly Required","Batteries Required?","Manufacturer recommended age","Educational Objective(s)","Mfg Recommended age","Fabric Type","Care instructions","Number of pieces","Brand","Model Number","Color","Product Dimensions:","Date First Available:","Manufacturer:","ASIN:","Item model number:","","Item volume","International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]","Best Sellers Rank:","Camera Cases","Batteries","Manufacturer reference","Manufacturer Part Number","Mobile Phone Screen Protectors","USB Cables","Other display features","Form factor","Whats in the box","Package Dimensions:","Language:","Batteries Included?","Remote Control Included?","Is Discontinued By Manufacturer:","Department:","Action Cameras & Accessories","Customer reviews:","Size","Style","Season","Sport","Department","Is Discontinued By Manufacturer","Number of Puzzle Pieces","Hand Tools","Height","Length","Weight","Width","Number of Items","Standing screen display size","Are Batteries Included","Number of Game Players","Material Care Instructions","Material","Screwdrivers","Model number","Target gender","Our Recommended age","Number of Pieces","Material Type(s)","Long Drill Bits","In-Ear Headphones","Model","Computer Accessories","Manufacturer's Suggested Maximum Weight","material_composition","Knee Braces","Boring Drill Bits","Item diameter","Material Type","Included Components","Frame Material","Shape","Lens Material","Outer Material","Material Composition","Mobile Phone Basic Cases","Capacity","Item Shape","Series","Voltage","Camera & Camcorder Rain Covers","Lightning Cables","Automotive Diagnostic, Test & Measuring Tools","Measuring & Layout","Camera Lens Filter Sets","Warranty description","Open-End Wrenches","Drill Bits","Release date","Drive Sockets","Camera & Photo Accessories","Units","Dishwasher safe","Is portable","Wrench Sets","Pipe Wrenches","Shop Knives","Batteries:","Mobile Phone Accessories","Format","Electrical Power Accessories","Electrical Equipment","Chisels","Item Model Number","Pliers & Pincers","Nintendo Switch Games","Jobber Drill Bits","Wearable Technology","Power Tool Accessories","Dishwasher safe?","Hole Saws","Hammers","Auto Shutoff","Special Features","desc","Camcorder Cases","Brad-Point Drill Bits","number_of_channels","Mobile Phone Mounts & Stands","Telephone & VoIP Accessories","Cycling Accessories","Hardware","Safety & Security","Industrial Drill Bits","Combination Wrenches","HDMI Cables","Desk Accessories & Storage Products","Electronics Accessories & Supplies","Flashlight Lanterns","Display Type","Photographic Lighting & Studio Equipment","PlayStation 4 Games","Twist Drill Bits","Manufacturer reference:","Other camera features","Resistance temperature","Screwdriver Sets","Spanners & Wrenches","Display maximum weight recommendation","Jig Saw Blades","Fill material","Scent","Import designation","Wood Chisels","Mobile Phone OTG Adapters","Complete Tripod Units","Bookshelf Photo Albums","Special features","Additional product features","Tape Measures","Features","Strippers & Crimpers","Electrical Tools & Testers","Maximum weight recommendation","Quantity","League","Team","Material free","Bottle type","Lithium Battery Packaging","Camera Case & Bag Accessories","Tool Organizers","Tool Sets","Surveillance & Security Cameras","Home Security & Surveillance Systems","Folding","tech_spec_battery_description_toys","Camera Lens Sky & UV Filters","Film Cameras","Projector Accessories","Monopods","Wattage","Adjustable Wrenches","Exterior","OEM Part Number","Cover Included","Binoculars","Radio Control Suitability","Skill Level","Power Tool Staples","Cultivators & Tillers","Home Storage & Organization","Language::","Camera Lens Polarizing Filters"
"11","B07P9TBYPJ","","1","Aqua Sphere AS175.800 Kaiman EXO Small Fit Clear Lens Goggle","Sporting Goods|Water Sports|Swimming|Goggles","https://images-na.ssl-images-amazon.com/images/I/31RY8H2znZL._AC_.jpg","5.4 x 19.6 x 7 cm; 120 Grams",,"2724442686179","25 February 2019","",,,,,,,,,,,"Aqua Sphere",,,,,,,,,"Aqua Sphere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","B07P83DT8F","","1","Aqua Lung Impression Mask, Clear And Blue","Sporting Goods|Water Sports|Diving & Snorkeling|Diving Masks","https://images-na.ssl-images-amazon.com/images/I/61B9ZA-EzJL._AC_SL1500_.jpg","0.8 x 42.6 x 17.6 cm; 340 Grams",,"2724445050946","21 February 2019","",,,,,,,,,,,"Aqua Lung",,,,,,,,,"Aqua Lung",,"Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","B0772J23SQ","119.0","1","Pushy Vinyl Decorative Wall Sticker - Black","Tools & Home Improvement|Painting Supplies, Tools & Wall Treatments|Wall Stickers & Murals","https://images-na.ssl-images-amazon.com/images/I/61lStjgVhUL._AC_SL1500_.jpg","35 x 45 x 1 cm; 20 Grams","No","246PHY7048","9 April 2019","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","B07QMRXM8T","30.71","1","Tuffware Starware Tava with Out Handle, Silver, 4.88 mm (Size 11)","Kitchen|Cookware|Pots & Pans|Frying Pans","https://images-na.ssl-images-amazon.com/images/I/51tzgTSt4TL._AC_SL1000_.jpg",,"No","8906013344075","16 April 2019","https://images-na.ssl-images-amazon.com/images/I/31fIuhQfxtL._AC_.jpg",,"No",,,"#64,719 in Kitchen (See Top 100 in Kitchen)#651 in Skillets","23.8 x 16.8 x 2.4 cm; 640 Grams",,,,,,,,,,,,"Hand Wash","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15","B073ZWZSZP","","1","Pop-up beker Emoji Mepal","Kitchen|Containers & Storage|Food Storage|Storage Jars & Canisters","https://images-na.ssl-images-amazon.com/images/I/51YlY37neRL._AC_SL1000_.jpg","7.5 x 6 x 16.9 cm; 120 Grams","No","107510065366","10 July 2019","",,"No",,,,,,,,,,,,,,,,,"1",,,,,,,,,,"275 Centiliters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","B00FJI1UXY","","1","Bower SCX4700 Compact Digital Camera Case (Grey)","Electronics|Camera & Photo|Accessories|Cases & Bags|Camera Cases","https://images-na.ssl-images-amazon.com/images/I/81dXJ5iBLNL._AC_SL1200_.jpg",,,,,"",,,,,,,,,,,,,,,,,,,,,,,"12.45 x 3.18 x 8.76 cm; 68.04 Grams","4 November 2017","Bower","B00FJI1UXY","SCX4700",,,"International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]","See Top 100 in Electronics","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17","B0797D5PRQ","28.54","1","Bosphorus Toothpaste Container, White, JM-BS1208D","Home|Bath|Bathroom Accessories|Holders, Dispensers & Organizers|Toothbrush Holders","https://images-na.ssl-images-amazon.com/images/I/61PV8PuY9ZL._AC_SL1500_.jpg","8 x 8 x 12 cm; 180 Grams","No","JM-BS1208D","26 August 2019","https://images-na.ssl-images-amazon.com/images/I/61mpbj493cL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61JPUKFAarL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61rByrUVcJL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71LR0YhFPmL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71K-eiPKabL._AC_SL1500_.jpg","0.18 Kilograms","No",,,,,,,,,,,,,,,,,,,,,,,,,,,"10 Milliliters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","B014HJ9CXA","163.04","1","Pushy Vinyl Decorative Wall Sticker - Black","Tools & Home Improvement|Painting Supplies, Tools & Wall Treatments|Wall Stickers & Murals","https://images-na.ssl-images-amazon.com/images/I/51hemxozJBL._AC_SL1178_.jpg","50 x 33 x 1 cm; 30 Grams","No","YSS-65","9 April 2019","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19","B07QMN49TN","55.00","1","DEYARCO Hotel Linen 300TC White Single Duvet Cover 2pcs Set, Fabric: 300TC 100% Cotton Sateen, Size: 1pc duvet cover 165 x 225 cm + 1pc pillow cover 50 x 75 cm, Luxury Feel Soft bedding, Color: White","Home|Home Textiles|Bedding & Linen|Duvet Covers & Sets|Duvet Cover Sets","https://images-na.ssl-images-amazon.com/images/I/41fvefAdKmL._AC_SL1000_.jpg",,,"2724302387420","15 April 2019","",,,,,"#43,227 in Home (See Top 100 in Home)#377 in Bedding Duvet Cover Sets","29.8 x 22.6 x 6.6 cm; 1.21 Kilograms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","B07P6H3J2G","","1","Stack-A-Bubble 269631 Avengers Licensed, Multi Color","Toys|Sport & Outdoor|Bubbles","https://images-na.ssl-images-amazon.com/images/I/51gt-Vqyu5L._AC_.jpg","1.8 x 25.2 x 10 cm; 60 Grams",,"2724321688195","25 February 2019","",,,,,"#85,883 in Toys (See Top 100 in Toys)#180 in Bubble Blowing Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21","B000H5V6YC","16.80","1","Mondo - PVC Ball Barbie, Multi-Color, 23 cm, 06123","Toys|Sport & Outdoor","https://images-na.ssl-images-amazon.com/images/I/71TqAr7LdTL._AC_SL1000_.jpg","22 x 22 x 22 cm; 1 Kilograms",,"06/123a","28 January 2019","",,,,,"#106,526 in Toys (See Top 100 in Toys)#10,731 in Sport & Outdoor Toys",,,,,,,"No","No","18 months - 8 years",,"18 months - 8 years",,,,,,"Multi-Color",,,,,,,,,,,"1 Product Specific batteries required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22","B07P6H2WBT","","1","Rangrage Divine Maa Canvas Painting","Home|Artwork|Paintings","https://images-na.ssl-images-amazon.com/images/I/81FpFp5lMQL._AC_SL1500_.jpg","5.4 x 31.2 x 16.8 cm; 240 Grams",,,"25 February 2019","https://images-na.ssl-images-amazon.com/images/I/61jQGSFr3LL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71-AGWf3ZwL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81gTkHbIhRL._AC_SL1500_.jpg",,,,,"#117,659 in Home (See Top 100 in Home)#2,653 in Paintings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2724662796412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
